university,us_news_rank_23,course_catalog_accesible,did_it_include_any_class,general_school_notes,course_1_name,course_1_url,course_1_level,course_1_dept,course_1_topic_list,course_1_software,notes,course_2_name,course_2_url,course_2_level,course_2_dept,course_2_topic_list,course_2_software,notes_19,course_3_name,course_3_url,course_3_level,course_3_dept,course_3_topic_list,course_3_software,notes_26,course_4_name,course_4_url,course_4_level,course_4_dept,course_4_topic_list,course_4_software,notes_33,course_5_name,course_5_url,course_5_level,course_5_dept,course_5_topic_list,course_5_software,notes_40,course_6_name,course_6_url,course_6_level,course_6_dept,course_6_topic_list,course_6_software,notes_47,course_7_name,course_7_url,course_7_level,course_7_dept,course_7_topic_list,course_7_software,notes_54,course_8_name,course_8_url,course_8_level,course_8_dept,course_8_topic_list,course_8_software,notes_61,course_9_name,course_9_url,course_9_level,course_9_dept,course_9_topic_list,course_9_software,notes_68,course_10_name,course_10_url,course_10_level,course_10_dept,course_10_topic_list,course_10_software,notes_75,course_11_name,course_11_url,course_11_level,course_11_dept,course_11_topic_list,course_11_software,notes_82,course_12_name,course_12_url,course_12_level,course_12_dept,course_12_topic_list,course_12_software,notes_89,course_13_name,course_13_url,course_13_level,course_13_dept,course_13_topic_list,course_13_software,notes_96,course_14_name,course_14_url,course_14_level,course_14_dept,course_14_topic_list,course_14_software,notes_103,course_15_name,course_15_url,course_15_level,course_15_dept,course_15_topic_list,course_15_software,notes_110,type,notes_12
University of Pittsburgh,62,FALSE,FALSE,Course Catalog broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
George Washington University,62,TRUE,TRUE,NA,Data Visualization and Sonification,NA,Both,Corcoran Interaction Design,Interactive Graphics,NA,NA,Visualization for Analytics,NA,Grad,Decision Science,None,SAS,NA,Visualization of Complex Data,NA,Grad,Data Science,Clustering,None,NA,Data Visualization,http://www.leahbrooks.org/leahweb/teaching/pppa_dataviz/2023/subpages/syllabus.html,Grad,Public Policy and Public Administration,"Spatial Data, Interactive Graphics",R,NA,Data Visualization,NA,Undergrad,"Professional Studies Integrated Information, Science, and Technology",None,NA,restricted to one major/program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Minnesota,62,TRUE,TRUE,Course Catalog was 22-24,Data Visualization for the Health Sciences,https://onestop2.umn.edu/pcas/viewCatalogCourse.do?courseId=817405,Both,Health Informatics,None,"R (ggplot), D3.js, Tableau",NA,Data Visualization,https://onestop2.umn.edu/pcas/viewCatalogCourse.do?courseId=819793,Grad,Applied Business Analytics,Interactive Graphics,None,NA,Data Visualization in Plant and Microbial Biology,https://onestop2.umn.edu/pcas/viewCatalogCourse.do?courseId=819020,Both,Plant Pathology,None,None,NA,Data Visualization: Telling Stories with Numbers,http://classinfo.umn.edu/syllabi/dorelien_PA5929_Spring2019.pdf,Both,Public Affairs,Time Series,"Microsoft Excel, R",NA,Understanding Data Stories through Visualization & Computing,http://classinfo.umn.edu/?subject=EPSY&catalog_nbr=1261&term=1193,Undergrad,Educational Psychology,None,None,NA,Interactive Data Visualization for Business Analytics,https://clementjd.github.io/DataVizCourse/,Undergrad,Information and Decision Science,"Statistical Modeling, Time Series, Interactive Graphics","R (tidyverse, ggplot)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Virginia Polytechnic Institute and State University,62,TRUE,TRUE,NA,Data Visualization,NA,Undergrad,Statistics,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Connecticut,67,TRUE,TRUE,NA,Data Visualization,https://online.uconn.edu/courses/course/OPIM/3804/,Undergrad,"Business Administration, Operations and Information Management",None,None,NA,Visual Analytics,https://online.uconn.edu/courses/course/OPIM/5501/,Grad,Operations and Information Management,None,None,NA,Data Visualization and Communication,NA,Grad,Computer Science and Engineering,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Worcester Polytechnic Institute,67,TRUE,TRUE,NA,Biovisualization,https://wpi.cleancatalog.net/bioinformatics-and-computational-biology-computer-science/bcb-4002cs-4802,Both,"Bioinformatics and Computational Biology, Computer Science",Interactive Graphics,NA,NA,Data Visualization,"https://www.wpi.edu/academics/calendar-courses/course-descriptions/3776/computer-science#CS-480X, https://wpi-grad.cleancatalog.net/computer-science/cs-573",Both,Computer Science,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Texas A&M University-College Station,67,FALSE,FALSE,22-23 not available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Massachusetts-Amherst,67,TRUE,TRUE,NA,Special Topics: Fundamentals of Data Visualization,https://www.umass.edu/honors/class/80010/fundamentals-data-visualization,Undergrad,Mechanical and Industrial Engineering,None,R,NA,Data Visualization,https://people.math.umass.edu/~gorsky/Syllabus_Stat697v_Spring2023_tentative.pdf,Grad,Statistics,Interactive Graphics,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Yeshiva University,67,TRUE,TRUE,NA,Visual Design & Storytelling,NA,Grad,Data Analytics & Visualization,None,Microsoft Excel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Fordham University,72,TRUE,TRUE,NA,Data Visualization,NA,Grad,Computer and Info Science,Interactive Graphics,"Tableau, D3.js",NA,Data Visualization,NA,Undergrad,Digital Tech & Emerging Media,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Indiana University-Bloomington,72,TRUE,TRUE,Could only search by title,Data Visualization,https://yyahn.com/dviz-course/,Both,"Data Science, Informatics",None,Python,NA,Information Visualization,"https://ivmooc.cns.iu.edu/docs/E483-E583-CourseSyllabus.pdf, https://ivmooc.cns.iu.edu/docs/IVMOOC18-CourseSyllabus.pdf",Both,"Engineering, Information and Library Science","Spatial Data, Networks","OpenRefine, Tableau, Gephi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Southern Methodist University,72,TRUE,TRUE,NA,Data Visualization and Communication,https://catalog.smu.edu/preview_course_nopop.php?catoid=57&coid=215914,Grad,Information Technology & Operations Management,None,"Alteryx, Tableau",NA,Infographics,NA,Undergrad,Advertising,None,None,NA,Visualization of Information,https://catalog.smu.edu/preview_course_nopop.php?catoid=60&coid=228858,Grad,Data Science,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
American University,72,TRUE,TRUE,NA,Data Visualization and Information Design,https://catalog.american.edu/preview_course_nopop.php?catoid=17&coid=75217,Undergrad,Graphic Design,Spatial Data,None,NA,Introduction to Information Visualization,https://catalog.american.edu/preview_course_nopop.php?catoid=17&coid=75095,Both,Computer Science,Spatial Data,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
North Carolina State University,72,TRUE,TRUE,NA,Data Visualization,NA,Undergrad,Data Science,Interactive Graphics,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Pennsylvania State University-University Park,77,TRUE,TRUE,NA,Visualizing Anthropological Data,NA,Grad,Anthropology,None,None,NA,Business Data Visualization for Decision Making,NA,Grad,Business Analytics,None,NA,NA,Visualizing Information,https://gened.psu.edu/sites/default/files/docs/gd_115n.pdf,Undergrad,Graphic Design,Spatial Data,None,NA,Data Visualization,NA,Grad,Data Analytics,"Spatial Data, High Dimensional, Text Data, Networks",NA,"Gephi, ManyEyes, Microsoft Excel, Science of Science (Sci2), Pajek, Lattix, R, Cfinder, MapEquation, NodeXL, Gapminder",Data Visualization,NA,Undergrad,Digital Media + Arts + and Technology,Interactive Graphics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Baylor University,77,TRUE,TRUE,NA,Data Visualization,NA,Grad,Computer Science,None,None,NA,Data Visualization,NA,Undergrad,Data Science,None,None,NA,Data Visualization with Tableau,NA,Undergrad,Global Engagement,None,Tableau,NA,Fund of Data Visualization,NA,Undergrad,Management Info Systems,None,None,Only open to BBA students,Seminar in Data Visualization,NA,Grad,Management Info Systems,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Clemson University,77,TRUE,TRUE,NA,Data Visualization,https://catalog.clemson.edu/preview_course_nopop.php?catoid=35&coid=151242,Both,Computer Science,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Loyola Marymount University,77,TRUE,TRUE,NA,Data Visualization fo Journalism,https://bulletin.lmu.edu/preview_course_nopop.php?catoid=15&coid=63183,Undergrad,Journalism,None,None,5 week course,Data Visualization and GIS,https://bulletin.lmu.edu/preview_course_nopop.php?catoid=15&coid=63359,Undergrad,Information Systems and Business Analytics,Spatial Data,NA,NA,Data Visualization and Geographic Information Systems,https://bulletin.lmu.edu/preview_course_nopop.php?catoid=15&coid=62672,Grad,Business Analytics,"Spatial Data, Interactive Graphics",None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Michigan State University,77,TRUE,TRUE,NA,Data Visualization Principles and Techniques,https://docs.google.com/document/u/1/d/e/2PACX-1vRr8xymLONaAJEk0Hf5gDKp8J0ptIgbKzVWCn6JwEbS_P9I_t8XEYoLpXr-lDGJBe6H3XY-YFA6DpC9/pub,Undergrad,Computational Mathematics Science and Engineering,"Spatial Data, Networks","Python, GitHub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Stony Brook University,77,TRUE,TRUE,NA,Introduction to Visualization,"https://www3.cs.stonybrook.edu/~mueller/teaching/cse332/, https://www.cs.stonybrook.edu/students/Undergraduate-Studies/courses/ISE332",Undergrad,"Computer Science, Information Systems","Spatial Data, Clustering, Time Series, High Dimensional, Interactive Graphics","Python, D3.js, ImageVis3D",NA,Healthcare Data Visualization,NA,Grad,Applied Health Informatics,Text Data,Tableau,NA,Visualization,https://www3.cs.stonybrook.edu/~mueller/teaching/cse564/,Grad,Computer Science,"Spatial Data, Clustering, Time Series, High Dimensional, Interactive Graphics",NA,"JavaScript, D3.js, ImageVis3D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Gonzaga University,83,FALSE,FALSE,Could only search by department,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Binghamton University,83,FALSE,FALSE,Search by Course Title + Catalog is broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Marquette University,83,FALSE,FALSE,22-23 not available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
