university,us_news_rank_23,course_catalog_accesible,did_it_include_any_class,general_school_notes,course_1_name,course_1_url,course_1_level,course_1_dept,course_1_topic_list,course_1_software,notes,course_2_name,course_2_url,course_2_level,course_2_dept,course_2_topic_list,course_2_software,notes_19,course_3_name,course_3_url,course_3_level,course_3_dept,course_3_topic_list,course_3_software,notes_26,course_4_name,course_4_url,course_4_level,course_4_dept,course_4_topic_list,course_4_software,notes_33,course_5_name,course_5_url,course_5_level,course_5_dept,course_5_topic_list,course_5_software,notes_40,course_6_name,course_6_url,course_6_level,course_6_dept,course_6_topic_list,course_6_software,notes_47,course_7_name,course_7_url,course_7_level,course_7_dept,course_7_topic_list,course_7_software,notes_54,course_8_name,course_8_url,course_8_level,course_8_dept,course_8_topic_list,course_8_software,notes_61,course_9_name,course_9_url,course_9_level,course_9_dept,course_9_topic_list,course_9_software,notes_68,course_10_name,course_10_url,course_10_level,course_10_dept,course_10_topic_list,course_10_software,notes_75,course_11_name,course_11_url,course_11_level,course_11_dept,course_11_topic_list,course_11_software,notes_82,course_12_name,course_12_url,course_12_level,course_12_dept,course_12_topic_list,course_12_software,notes_89,course_13_name,course_13_url,course_13_level,course_13_dept,course_13_topic_list,course_13_software,notes_96,course_14_name,course_14_url,course_14_level,course_14_dept,course_14_topic_list,course_14_software,notes_103,course_15_name,course_15_url,course_15_level,course_15_dept,course_15_topic_list,course_15_software,notes_110,type,notes_12
Stevens Institute of Technology,83,TRUE,TRUE,NA,Visualizing Society,https://stevens.smartcatalogiq.com/2022-2023/academic-catalog/courses/hst-humanities-science-and-technology-studies/300/hst-325/,Undergrad,Humanities Science and Techonolgy Studies,Interactive Graphics,NA,NA,Data Analysis and Visual Techniques,https://stevens.smartcatalogiq.com/2022-2023/academic-catalog/courses/ise-industrial-and-systems-engineering/400/ise-422/,Undergrad,Industrial and Systems Engineering,"Spatial data, Text Data, Interactive Graphics",None,NA,Data Visualization Application,https://stevens.smartcatalogiq.com/2022-2023/academic-catalog/courses/fe-financial-engineering/500/fe-550/,Both,"Financial Analytics, Financial Engineering",Interactive Graphics,"R, Ruby on Rails, ManyEyes, HTML, CSS, D3.js, Google Chart Tools, Google Refine",NA,Visual Analytics,https://stevens.smartcatalogiq.com/2022-2023/academic-catalog/courses/cs-computer-science/500/cs-538/,Both,Computer Science,"Time Series, Interactive Graphics",NA,NA,Designing with Data,https://iq3.smartcatalogiq.com/en/Catalogs/Stevens-Institution-of-Technology/2021-2022/Academic-Catalog/Courses/HAR-Humanities-Art/200/HAR-250,Undergrad,Humanities Art,None,NA,NA,Decision Making via Data Analysis Techniques,https://stevens.smartcatalogiq.com/2022-2023/academic-catalog/courses/sys-systems-engineering/600/sys-622/,Grad,"Systems Engineering, Engineering Management",Interactive Graphics,"R, D3.js, Google refine, Spot fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Iowa,83,TRUE,TRUE,NA,Information Visualization,https://myui.uiowa.edu/my-ui/courses/details.page?ci=172517&id=971650,Both,Business Analytics,"Time Series, High Dimensional","PowerBI, Tableau",NA,Data Visualization and Data Technologies,https://myui.uiowa.edu/my-ui/courses/details.page?ci=170510&id=982403,Both,Informatics,None,NA,NA,Information and Data Visualization,https://myui.uiowa.edu/my-ui/courses/details.page?ci=169946&id=988082,Undergrad,Journalism and Mass Communication,None,None,NA,"Problems in Methods: Data Visualization (Undergrad), Topics in Methodology: Data Visualization (Grad)","https://myui.uiowa.edu/my-ui/courses/details.page?ci=169283&id=990558, https://myui.uiowa.edu/my-ui/courses/details.page?ci=151893&id=983833",Undergrad,Political Science,Networks,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Santa Cruz,83,TRUE,TRUE,NA,Data Visualization,https://ucsc.smartcatalogiq.com/current/General-Catalog/Courses/STAT-Statistics/Lower-Division/STAT-80B,Undergrad,Statistics,"Networks, Text Data",NA,NA,Applied Visualization and Analysis of Scientific Data,https://ucsc.smartcatalogiq.com/current/General-Catalog/Courses/BME-Biomolecular-Engineering/200/BME-263,Both,Biomolecular Enginneering,None,"Python (Numpy, Scipy, Matplotlib), Inkscape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Brigham Young University,89,TRUE,TRUE,Only could find and search undergrad catalog (both sems),Data Visualization,https://brightspotcdn.byu.edu/13/7a/7530fc51491093392b086b43489b/301-goodliffe-w19.pdf,Undergrad,Political Science,"Hypothesis Testing, Spatial Data, Time Series, Interactive Graphics",R (Shiny),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Colorado School of Mines,89,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Elon University,89,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Howard University,89,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Texas Christian University,89,TRUE,TRUE,NA,Data Visualization,http://tcu.smartcatalogiq.com/2022-2023/Graduate-Catalog/Courses/INSC-Info-Systems-Supply-Chain/60000/INSC-60070,Grad,Information Systems and Supply Chain Management,Interactive Graphics,Tableau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Riverside,89,TRUE,TRUE,NA,Application of Visualization in Science,https://msol.engr.ucr.edu/courses/phys244,Grad,Physics and Astronomy,Interactive Graphics,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Buffalo,89,FALSE,FALSE,Could only search by department,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Delaware,89,TRUE,TRUE,NA,Analyzing Epidemiologic Data Using R,https://catalog.udel.edu/preview_course_nopop.php?catoid=64&coid=396773,Grad,Epidemiology,None,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of California-Merced,97,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of San Diego,97,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Auburn University,97,TRUE,TRUE,NA,Data Visualization,NA,Grad,Business Analytics,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Colorado-Boulder,97,TRUE,TRUE,NA,Information Visualization,https://www.colorado.edu/cs/cspb-4122-information-visualization,Undergrad,Computer Science,"Text Data, Networks, Interactive Graphics",NA,Class offered for CS and CS Post-Baccalaureate programs,Information Visualization,https://www.colorado.edu/cs/info-4602-5602-information-visualization,Both,Information Science,Interactive Graphics,D3.js,NA,Fundamentals of Data Visualization,https://www.colorado.edu/program/data-science/coursera/curriculum/dtsa5304,Grad,Data Science,Interactive Graphics,Python (Altair),4 week course,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Clark University,97,TRUE,TRUE,NA,Data Visualization and Exploration for the Biosciences in the Tidyverse,NA,Both,Biology,None,R (tidyverse),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
New Jersey Institute of Technology,97,TRUE,TRUE,NA,Data Visualization,NA,Undergrad,Computer Science,None,"Tableau, Python",NA,Data Visualization and Interpretation,https://digitalcommons.njit.edu/cgi/viewcontent.cgi?article=1011&context=info-syllabi,Grad,"Data Science, Information Systems","High Dimensional, Interactive Graphics","Python, JavaScript, Tablea, D3.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of Illinois-Chicago,97,FALSE,FALSE,"Course Catalog was 21-23 (undergrad), Course Catalog search was faulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
University of South Florida,97,TRUE,TRUE,NA,Interactive Data Visualization,https://cspaul.com/wordpress/cap-4744-5745-interactive-data-visualization/,Both,Computer Science and Engineering,Interactive Graphics,None,NA,Data Visualization in Education,https://catalog.usf.edu/preview_course_nopop.php?catoid=9&coid=28081,Grad,Educational and Psychological Studies,Interactive Graphics,None,NA,Health Data Visualization,https://catalog.usf.edu/preview_course_nopop.php?catoid=9&coid=28446,Grad,Medical Sciences,None,None,NA,Data Visualization,https://catalog.usf.edu/preview_course_nopop.php?catoid=12&coid=42831,Grad,Information Systems and Management,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,university,NA
Williams College,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Amherst College,2,FALSE,FALSE,Could only search by department,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Pomona College,3,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Swarthmore College,4,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Wellesley College,5,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Bowdoin College,6,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Carleton College,6,TRUE,TRUE,NA,Data Visualization,https://apps.carleton.edu/campus/registrar/catalog/current/course-details/?subject=CS&number=314,Undergrad,Computer Science,None,None,NA,Data Visualization as Activism,https://www.carleton.edu/interdisciplinary-studies/,Undergrad,Interdisciplinary Studies,None,None,NA,Introduction to Data Science,https://www.carleton.edu/math/courses/,Undergrad,Statistics,"Interactive Graphics, Spatial Data","R (ggplot, Shiny)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
United States Naval Academy,6,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Claremont McKenna College,9,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
United States Military Academy,9,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
Middlebury College,11,TRUE,TRUE,NA,Making Data Visual,https://catalog.middlebury.edu/courses/view/catalog/catalog%2FMCUG/course/course%2FMATH0110,Undergrad,Mathematics,None,"Canva, Photoshop, R",NA,Information Visualization,https://catalog.middlebury.edu/offerings/view/catalog/catalog%2FMCUG/term/term%2F202290/type/genera%3Aoffering%2FLCT/type/genera%3Aoffering%2FSEM/time_start/0/time_end/86400/keywords/data+visualization/search/Search/page/1/offering/section%2F202290%2F92209,Undergrad,Computer Science,Interactive Graphics,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liberal_arts,NA
